product_master_id,artist_id,artist_name,product_id,product_name,version_id,version_name,member_id,member_name,card_type,card_detail,release_date,visual_features,front_image_url,back_image_url
PM00112,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000007,WOOZI,photocard,photocard 3,2017/02/07,,,
PM00113,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000008,THE 8,photocard,photocard 1,2017/02/07,,,
PM00114,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000008,THE 8,photocard,photocard 2,2017/02/07,,,
PM00115,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000008,THE 8,photocard,photocard 3,2017/02/07,,,
PM00116,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000009,MINGYU,photocard,photocard 1,2017/02/07,,,
PM00117,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000009,MINGYU,photocard,photocard 2,2017/02/07,,,
PM00118,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000009,MINGYU,photocard,photocard 3,2017/02/07,,,
PM00119,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000010,DK,photocard,photocard 1,2017/02/07,,,
PM00120,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000010,DK,photocard,photocard 2,2017/02/07,,,
PM00121,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000010,DK,photocard,photocard 3,2017/02/07,,,
PM00122,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000011,SEUNGKWAN,photocard,photocard 1,2017/02/07,,,
PM00123,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000011,SEUNGKWAN,photocard,photocard 2,2017/02/07,,,
PM00124,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000011,SEUNGKWAN,photocard,photocard 3,2017/02/07,,,
PM00125,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000012,VERNON,photocard,photocard 1,2017/02/07,,,
PM00126,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000012,VERNON,photocard,photocard 2,2017/02/07,,,
PM00127,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000012,VERNON,photocard,photocard 3,2017/02/07,,,
PM00128,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000013,DINO,photocard,photocard 1,2017/02/07,,,
PM00129,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000013,DINO,photocard,photocard 2,2017/02/07,,,
PM00130,A000000,SEVENTEEN,P_KR004,AL1,V_KR004_01,regular,A000013,DINO,photocard,photocard 3,2017/02/07,,,
PM00131,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000001,S.COUPS,photocard,photocard,2017/11/06,,,
PM00132,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000002,JEONGHAN,photocard,photocard,2017/11/06,,,
PM00133,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000003,JOSHUA,photocard,photocard,2017/11/06,,,
PM00134,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000004,JUN,photocard,photocard,2017/11/06,,,
PM00135,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000005,HOSHI,photocard,photocard,2017/11/06,,,
PM00136,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000006,WONWOO,photocard,photocard,2017/11/06,,,
PM00137,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000007,WOOZI,photocard,photocard,2017/11/06,,,
PM00138,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000008,THE 8,photocard,photocard,2017/11/06,,,
PM00139,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000009,MINGYU,photocard,photocard,2017/11/06,,,
PM00140,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000010,DK,photocard,photocard,2017/11/06,,,
PM00141,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000011,SEUNGKWAN,photocard,photocard,2017/11/06,,,
PM00142,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000012,VERNON,photocard,photocard,2017/11/06,,,
PM00143,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_01,white,A000013,DINO,photocard,photocard,2017/11/06,,,
PM00144,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000001,S.COUPS,photocard,photocard,2017/11/06,,,
PM00145,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000002,JEONGHAN,photocard,photocard,2017/11/06,,,
PM00146,A000000,SEVENTEEN,P_KR005,"TEEN, AGE",V_KR005_02,green,A000003,JOSHUA,photocard,photocard,2017/11/06,,,
